Song,Lyrics
Family Matters,Drop a fifty bag for the mob in the spot
Family Matters,"Drop a fifty bag, 29 for the thot"
Family Matters,"Uh, I was really, really tryna keep it—"
Family Matters,Yeah
Family Matters,"Let me stop playin' around, let me take this shit serious, like"
Family Matters,"Niggas is a joke, I take it serious, though"
Family Matters,"Yeah, look"
Family Matters,"If Drake shooters doing TikToks, nigga"
Family Matters,"Realest shooter in your gang, that's P's brother, y'all ain't getting shit shot, nigga"
Family Matters,"Can't listen to the stick talk in falsetto, save it for a hip-hop nigga"
Family Matters,"You don't even be at home, dog, you a souvenir-out-the-gift-shop nigga"
Family Matters,"Still mad about that one ho, we ain't even fuck, I just lip-locked with her"
Family Matters,"I get active when it's war time, I ain't even really let my dick drop, nigga"
Family Matters,"What the fuck I heard Rick drop, nigga? Talkin' somethin' 'bout a nose job, nigga"
Family Matters,Ozempic got a side effect of jealousy and doctor never told y'all niggas
Family Matters,"Put a nigga in the bars, let a nigga rot, kind of like your old job, nigga"
Family Matters,"House sittin' on some land, but it's out where no one even really know y'all niggas"
Family Matters,"Bitches gotta drive two hours 'fore you pay 'em just to give a blowjob, nigga"
Family Matters,Must've snorted up a snowball
Family Matters,"'Cause my last record deal was four hundred M's, these days, that's a low ball, nigga"
Family Matters,Ayy
Family Matters,Who's next on the list?
Family Matters,Which one of my so-called niggas
Family Matters,Which one of my so-called niggas
Family Matters,Which one of my so-called niggas need a shell from the clip?
Family Matters,Always knew I had to smoke y'all niggas
Family Matters,"​good kid, m.A.A.d city"
Family Matters," van, we'll pop the latch and let the door slide"
